Post,Company,Experience,Level,Salary,Deadline
Compliance Officer,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 50,000 - 60,000 Monthly",2025-12-19
Full Stack Developer,Audit Partnership,More than 2 years,Mid Level,Not Disclosed,2025-12-19
Documentation Officer,Paradeshi Overseas Services,More than 1 year,Mid Level,Not Disclosed,2025-12-17
Sales and Marketing Executive,Nameru Trade,More than 1 year,Mid Level,"NRs. 25,000 - 40,000 Monthly",2025-12-18
Administrator,East West Concern,More than 2 years,Mid Level,Not Disclosed,2025-12-17
Assistant Relationship Officer,Himal Tea Industries - Rakura Group,Not Required,Entry Level,"NRs. 25,000 - 30,000 Monthly",2025-12-17
Software Developer,WorldLink Communications,Equal to 2 years,Mid Level,Not Disclosed,2025-12-17
Channel Partner Officer,WorldLink Communications,More than 2 years,Mid Level,Not Disclosed,2025-12-16
Tele Sales Executive,DHL Express Nepal,More than 1 year,Mid Level,Not Disclosed,2025-12-17
Infrastructure & Cloud Engineer,Digital Network Solution,More than 3 years,Mid Level,Not Disclosed,2025-12-17
Project Manager,Digital Network Solution,More than 3 years,Mid Level,Not Disclosed,2025-12-17
Sales Executive,Inskpire Hub,More than 1 year,Mid Level,Not Disclosed,2025-12-17
Business Development Manager,Huawei Technologies Nepal,More than 5 years,Senior Level,Not Disclosed,2025-12-17
Paralegal,Bhurtel Law Services,More than 1 year,Mid Level,Not Disclosed,2025-12-16
Nurse,Bhurtel Law Services,More than 1 year,Mid Level,Not Disclosed,2025-12-16
Computer Engineer / Computer programmer,Bhurtel Law Services,More than 1 year,Mid Level,Not Disclosed,2025-12-16
Telecom Engineer,ZTE Nepal,More than 2 years,Mid Level,Not Disclosed,2025-12-16
Customer Service Representative,Foodmandu,Not Required,Entry Level,Not Disclosed,2025-12-16
Personal Secretary,Revive Infrastech and Investment,More than 2 years,Mid Level,"NRs. 30,000 Monthly",2025-12-15
नगद परिचालक (Teller),Ajambari Saving and Credit Co-operative,More than 1 year,Mid Level,Not Disclosed,2025-12-15
Sales Executive (For UK),Same Day Courier,Not Required,Entry Level,"NRs. 100,000 - 120,000 Monthly",2025-12-30
Communications Coordinator,Women LEAD Nepal,More than 2 years,Mid Level,Not Disclosed,2025-12-21
HR Manager,Soil Test,More than 5 years,Senior Level,Not Disclosed,2025-12-16
Assistant Manager / Operation Supervisor,Stemz Healthcare Center,More than 2 years,Mid Level,"NRs. 50,000 - 60,000 Monthly",2025-12-23
Saathi Teacher,Helambu Education and Livelihood Partnership,More than 2 years,Mid Level,Not Disclosed,2025-12-25
Customer Sales Representative,Insta Cover Solution,Not Required,Mid Level,"NRs. 20,000 - 25,000 Monthly",2025-12-16
Pre-Primary Coordinator (Montessori),Shree Tarapunja English School,More than 2 years,Mid Level,Not Disclosed,2026-01-06
Business Development Associate / Bidding Officer,Soil Test,More than 2 years,Mid Level,Not Disclosed,2025-12-12
Marketing Manager,Kama Jewels,More than 5 years,Senior Level,"NRs. 50,000 - 100,000 Monthly",2025-12-12
